keyword,local_volume,search_volume,cpc,competition,competition_level,seo_difficulty,intent,local_value,opportunity_score
garage door repair liftmaster,40,33100,50.56,0.02,LOW,18,transactional,2022,27.8
repair liftmaster garage door opener,40,33100,50.56,0.02,LOW,0,transactional,2022,27.8
liftmaster garage door opener repair,40,33100,50.56,0.02,LOW,10,transactional,2022,27.8
garage door liftmaster repair,40,33100,50.56,0.02,LOW,8,transactional,2022,27.8
garage door opener repair liftmaster,40,33100,50.56,0.02,LOW,10,transactional,2022,27.8
liftmaster garage door openers repair,40,33100,50.56,0.02,LOW,10,transactional,2022,27.8
liftmaster garage door repair,40,33100,50.56,0.02,LOW,21,navigational,2022,27.8
repair garage door openers,210,165000,40.85,0.04,LOW,32,commercial,8578,27.7
garage door open repair,210,165000,40.85,0.04,LOW,36,navigational,8578,27.7
garage door opener repair,210,165000,40.85,0.04,LOW,10,transactional,8578,27.7
garage door openers repair,210,165000,40.85,0.04,LOW,20,commercial,8578,27.7
garage door opening repair,210,165000,40.85,0.04,LOW,27,commercial,8578,27.7
repair garage door opener,210,165000,40.85,0.04,LOW,24,commercial,8578,27.7
garage door repair opener,210,165000,40.85,0.04,LOW,30,transactional,8578,27.7
repair a garage door opener,210,165000,40.85,0.04,LOW,26,commercial,8578,27.7
garage door sensors repair,20,18100,14.65,0.04,LOW,0,transactional,293,27.7
repair garage door sensor,20,18100,14.65,0.04,LOW,0,transactional,293,27.7
garage door sensor repair,20,18100,14.65,0.04,LOW,0,transactional,293,27.7
repair garage door sensors,20,18100,14.65,0.04,LOW,0,transactional,293,27.7
garage door repair spring replacement,30,22200,33.59,0.09,LOW,0,transactional,1008,27.3
garage door spring repair,30,22200,33.59,0.09,LOW,0,transactional,1008,27.3
garage door springs repair,30,22200,33.59,0.09,LOW,0,navigational,1008,27.3
garage door repair and service,40,27100,42.38,0.14,LOW,53,navigational,1695,26.9
garage door service and repair,40,27100,42.38,0.14,LOW,40,navigational,1695,26.9
garage door repair and services,40,27100,42.38,0.14,LOW,40,navigational,1695,26.9
garage door repair services,40,27100,42.38,0.14,LOW,52,navigational,1695,26.9
garage door repair service,40,27100,42.38,0.14,LOW,52,navigational,1695,26.9
garage door services and repair,40,27100,42.38,0.14,LOW,40,navigational,1695,26.9
garage door service repair,40,27100,42.38,0.14,LOW,52,navigational,1695,26.9
garage door repair services near me,170,201000,43.69,0.29,LOW,30,navigational,7427,25.7
garage door repair near.me,170,201000,43.69,0.29,LOW,3,navigational,7427,25.7
garage door repair service near me,170,201000,43.69,0.29,LOW,25,navigational,7427,25.7
repair garage door near me,170,201000,43.69,0.29,LOW,3,navigational,7427,25.7
near me garage door repair,170,201000,43.69,0.29,LOW,3,navigational,7427,25.7
garage door repair near me,170,201000,43.69,0.29,LOW,3,navigational,7427,25.7
garage door repair closest to me,170,201000,43.69,0.29,LOW,17,navigational,7427,25.7
garage door repair close to me,170,201000,43.69,0.29,LOW,19,commercial,7427,25.7
garage repair door,320,246000,46.98,0.39,MEDIUM,28,transactional,15034,24.9
repair door garage,320,246000,46.98,0.39,MEDIUM,28,navigational,15034,24.9
repair the garage door,320,246000,46.98,0.39,MEDIUM,28,navigational,15034,24.9
garage door garage door repair,320,246000,46.98,0.39,MEDIUM,28,commercial,15034,24.9
garage door repair garage door repair,320,246000,46.98,0.39,MEDIUM,28,navigational,15034,24.9
garage door repair,320,246000,46.98,0.39,MEDIUM,28,navigational,15034,24.9
garage door and repair,320,246000,46.98,0.39,MEDIUM,34,navigational,15034,24.9
repair for garage door,320,246000,46.98,0.39,MEDIUM,28,commercial,15034,24.9
repair garage door,320,246000,46.98,0.39,MEDIUM,28,navigational,15034,24.9
door garage repair,320,246000,46.98,0.39,MEDIUM,37,transactional,15034,24.9
repair a garage door,320,246000,46.98,0.39,MEDIUM,28,commercial,15034,24.9
door repair garage,320,246000,46.98,0.39,MEDIUM,28,transactional,15034,24.9
repair of garage door,320,246000,46.98,0.39,MEDIUM,28,commercial,15034,24.9
